YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1984,-7.09,1.45,-1.01,9.51,13.20,22.29,22.25,23.35,16.92,13.40,4.38,1.84,-3.71,7.23,22.63,11.57,9.43
1985,-5.74,-4.03,4.23,11.30,16.34,17.86,22.52,21.35,18.64,12.38,6.49,-4.71,-2.64,10.62,20.58,12.50,10.27
1986,-3.80,-3.38,3.29,10.52,16.45,19.75,24.03,20.64,18.99,11.61,3.14,0.00,-3.96,10.09,21.47,11.25,9.71
1987,-3.09,-1.14,4.49,10.63,17.59,22.00,24.66,22.21,18.27,8.27,6.56,1.04,-1.41,10.90,22.96,11.03,10.87
1988,-4.40,-4.60,2.92,9.38,16.85,21.51,25.25,24.10,17.60,7.95,5.84,-1.65,-2.65,9.72,23.62,10.46,10.29
1989,0.63,-4.19,1.96,7.47,14.32,19.89,22.98,21.25,16.78,11.32,3.64,-7.59,-1.74,7.92,21.37,10.58,9.53
1990,1.05,-0.55,4.34,9.61,13.88,20.48,22.54,21.94,18.23,11.77,6.97,0.62,-2.36,9.28,21.65,12.32,10.22
1991,-3.69,-0.25,4.79,11.29,19.35,22.63,24.01,23.18,17.48,12.87,3.82,0.25,-1.11,11.81,23.27,11.39,11.34
1992,-1.85,-0.49,2.15,999.90,14.35,18.29,20.16,18.97,16.07,9.51,4.42,0.37,-0.70,8.31,19.14,10.00,9.19
1993,-1.76,-4.65,1.23,8.49,15.37,19.42,23.88,23.29,15.85,10.77,4.79,-0.94,-2.01,8.36,22.20,10.47,9.75
1994,-8.47,-5.00,2.56,10.35,14.56,22.06,23.11,20.60,18.73,11.79,7.21,1.58,-4.80,9.16,21.92,12.58,9.71
1995,-2.31,-4.20,3.68,7.29,15.09,21.70,24.01,25.32,17.34,13.10,2.23,-3.30,-1.64,8.69,23.68,10.89,10.40
1996,-4.02,-3.03,-0.45,7.55,13.95,21.72,21.71,22.97,18.06,11.35,1.49,-0.03,-3.45,7.02,22.13,10.30,9.00
1997,-4.77,-0.56,3.14,7.92,11.37,21.07,22.57,20.29,17.31,11.21,3.09,0.38,-1.79,7.48,21.31,10.54,9.38
1998,0.70,2.85,4.42,999.90,18.89,20.84,23.28,23.11,20.23,12.36,6.77,2.07,1.31,11.71,22.41,13.12,12.14
1999,-4.70,0.66,1.82,10.61,17.14,21.79,25.13,21.46,18.87,11.10,7.59,0.24,-0.66,9.86,22.79,12.52,11.13
2000,-3.88,0.17,6.93,9.13,16.79,21.05,21.51,21.77,17.17,13.06,4.81,-6.85,-1.16,10.95,21.44,11.68,10.73
2001,-2.95,-1.04,1.96,10.89,16.49,21.12,23.32,23.65,17.07,11.63,8.92,2.39,-3.61,9.78,22.70,12.54,10.35
2002,0.64,0.74,1.82,10.12,12.77,21.83,24.98,23.06,20.73,10.24,4.28,-1.57,1.26,8.24,23.29,11.75,11.13
2003,-6.11,-4.67,2.24,9.35,13.88,19.46,22.81,22.96,17.55,10.76,7.11,0.87,-4.12,8.49,21.74,11.81,9.48
2004,-6.43,-1.69,4.90,10.72,16.29,19.76,22.36,20.54,19.94,12.09,6.37,-1.04,-2.42,10.64,20.89,12.80,10.48
2005,-4.11,-1.71,0.93,10.65,13.90,23.62,24.35,24.05,20.47,13.16,6.48,-3.19,-2.29,8.49,24.01,13.37,10.90
2006,2.07,-0.98,3.63,11.48,16.20,21.00,24.73,22.98,16.92,10.09,6.11,3.23,-0.70,10.44,22.90,11.04,10.92
2007,-1.08,-6.77,4.77,8.96,16.74,22.11,22.46,23.49,19.53,15.31,4.68,-1.07,-1.54,10.16,22.69,13.17,11.12
2008,-1.44,-3.53,1.04,11.27,14.35,21.70,23.12,22.51,19.30,10.58,4.14,-2.27,-2.01,8.89,22.44,11.34,10.16
2009,-7.91,-1.67,3.95,10.13,15.49,20.12,20.74,22.01,19.16,10.25,7.64,-1.25,-3.95,9.86,20.96,12.35,9.80
2010,-3.56,-2.05,6.02,12.61,17.31,22.14,25.03,24.28,18.34,13.00,5.81,-3.26,-2.29,11.98,23.82,12.38,11.47
2011,-5.37,-3.76,1.67,8.48,15.95,21.42,26.28,22.88,17.99,12.41,8.09,1.97,-4.13,8.70,23.53,12.83,10.23
2012,-0.73,0.34,10.37,9.66,18.51,22.39,26.12,22.73,17.79,11.51,4.65,2.16,0.53,12.85,23.75,11.32,12.11
2013,-1.83,-2.66,1.46,8.03,17.58,20.91,23.36,22.15,17.83,11.86,3.10,-2.82,-0.78,9.02,22.14,10.93,10.33
2014,-8.59,-6.94,-1.78,9.39,16.34,21.39,21.05,21.96,17.52,11.16,2.17,0.95,-6.12,7.98,21.47,10.28,8.40
2015,-5.89,-9.85,1.46,9.99,18.07,20.40,22.70,22.05,20.70,12.55,7.80,5.05,-4.93,9.84,21.72,13.68,10.08
2016,-2.10,-0.35,6.20,8.00,16.10,21.75,24.90,24.85,20.10,13.30,8.15,-1.80,0.87,10.10,23.83,13.85,12.16
2017,0.10,3.30,2.75,12.35,15.00,21.75,23.55,21.70,19.50,14.05,4.70,-2.75,0.53,10.03,22.33,12.75,11.41
2018,-4.10,-0.50,1.95,6.10,19.00,21.95,24.40,24.35,20.55,11.45,2.85,1.40,-2.45,9.02,23.57,11.62,10.44
2019,-4.50,-2.00,1.35,9.40,14.90,20.05,24.85,22.80,20.35,12.20,2.10,1.75,-1.70,8.55,22.57,11.55,10.24
2020,0.25,-1.00,5.15,7.85,14.30,21.75,25.30,23.10,17.45,10.55,7.65,0.50,0.33,9.10,23.38,11.88,11.18
2021,-1.45,-4.70,6.10,10.35,15.00,22.65,23.30,24.30,19.35,15.25,4.10,999.90,-1.88,10.48,23.42,12.90,11.23
